conversation_id,conversation,profanity,sensitive_data_compliance
742147aa-a2df-4429-859e-05b4a7875563,"[{""speaker"": ""Agent"", ""text"": ""Hello, is this Mark Johnson? This is Sarah calling from XYZ Collections. How are you today?"", ""stime"": 0, ""etime"": 8}, {""speaker"": ""Customer"", ""text"": ""Hi Sarah, yes this is Mark. I'm doing okay, thanks."", ""stime"": 8.5, ""etime"": 12}, {""speaker"": ""Agent"", ""text"": ""I'm glad to hear that, Mark. I'm reaching out regarding your overdue balance with ABC Credit Union. Can I get your account number to look it up?"", ""stime"": 11, ""etime"": 21}, {""speaker"": ""Customer"", ""text"": ""Sure, it's 123456789."", ""stime"": 22, ""etime"": 25}, {""speaker"": ""Agent"", ""text"": ""Thank you for that. Now, your current balance is $500. Would you like to discuss payment options?"", ""stime"": 24, ""etime"": 34}, {""speaker"": ""Customer"", ""text"": ""I was thinking of paying half today and the rest next month."", ""stime"": 35, ""etime"": 42}, {""speaker"": ""Agent"", ""text"": ""That sounds reasonable. I can help facilitate that. Just to clarify, can I confirm your mailing address?"", ""stime"": 41, ""etime"": 51}, {""speaker"": ""Customer"", ""text"": ""It's 456 Elm Street, Springfield."", ""stime"": 52, ""etime"": 56}, {""speaker"": ""Agent"", ""text"": ""Thank you, Mark! So, your first payment today would be $250, correct?"", ""stime"": 55, ""etime"": 64}, {""speaker"": ""Customer"", ""text"": ""Yes, that's right."", ""stime"": 65, ""etime"": 67}, {""speaker"": ""Agent"", ""text"": ""Great! Let's go ahead and process that. How would you like to make the payment?"", ""stime"": 68, ""etime"": 76}, {""speaker"": ""Customer"", ""text"": ""I can do it over the phone with my credit card."", ""stime"": 77, ""etime"": 82}, {""speaker"": ""Agent"", ""text"": ""Perfect. I just need the card number to get started."", ""stime"": 81, ""etime"": 88}, {""speaker"": ""Customer"", ""text"": ""It's 5555 4444 3333 2222."", ""stime"": 89, ""etime"": 92}, {""speaker"": ""Agent"", ""text"": ""Thank you for providing that. Now, your payment will be processed shortly. Is there anything else I can assist you with today?"", ""stime"": 93, ""etime"": 103}]",Not Found,Not Found
b76917d8-cb80-481a-84d5-25de34e98f95,"[{""speaker"": ""Agent"", ""text"": ""Good afternoon, this is Robert calling from XYZ Collections. How are you today?"", ""stime"": 0, ""etime"": 7}, {""speaker"": ""Customer"", ""text"": ""I'm fine, thank you. What is this about?"", ""stime"": 7.5, ""etime"": 12}, {""speaker"": ""Agent"", ""text"": ""I'm here to discuss your account with City Credit. Before we proceed, could you please verify your date of birth?"", ""stime"": 11, ""etime"": 21}, {""speaker"": ""Customer"", ""text"": ""It's July 15, 1990."", ""stime"": 20, ""etime"": 22}, {""speaker"": ""Agent"", ""text"": ""Thank you for confirming your date of birth. Can you also provide the last four digits of your Social Security number for verification?"", ""stime"": 21, ""etime"": 32}, {""speaker"": ""Customer"", ""text"": ""Sure, it's 1234."", ""stime"": 31, ""etime"": 34}, {""speaker"": ""Agent"", ""text"": ""Thank you for that. I confirm your identity. You currently have a balance of $250 on your account. How would you like to proceed with payment?"", ""stime"": 33, ""etime"": 45}, {""speaker"": ""Customer"", ""text"": ""I\u2019d like to set up a payment plan."", ""stime"": 44, ""etime"": 48}, {""speaker"": ""Agent"", ""text"": ""Absolutely! We can set that up. Would you prefer weekly or monthly payments?"", ""stime"": 47, ""etime"": 57}, {""speaker"": ""Customer"", ""text"": ""Monthly payments would work for me."", ""stime"": 56, ""etime"": 59}, {""speaker"": ""Agent"", ""text"": ""Great! I\u2019ll set you up for monthly payments of $62.50. Does that sound good?"", ""stime"": 58, ""etime"": 68}, {""speaker"": ""Customer"", ""text"": ""Yes, that works."", ""stime"": 67, ""etime"": 70}, {""speaker"": ""Agent"", ""text"": ""Thank you for confirming. You\u2019ll receive a confirmation email shortly. Have a great day!"", ""stime"": 69, ""etime"": 78}, {""speaker"": ""Customer"", ""text"": ""Thanks, you too!"", ""stime"": 77, ""etime"": 80}]",Not Found,Not Found
63803395-1ed2-405c-afdc-66ed0f48cd45,"[{""speaker"": ""Agent"", ""text"": ""Hello, this is Mike from XYZ Collections. Am I speaking with Sarah?"", ""stime"": 0, ""etime"": 8}, {""speaker"": ""Customer"", ""text"": ""No, this is not Sarah. You might have the wrong number."", ""stime"": 8.5, ""etime"": 12}, {""speaker"": ""Agent"", ""text"": ""I apologize for that. I'm reaching out about a past due account with ABC Credit."", ""stime"": 11, ""etime"": 18}, {""speaker"": ""Customer"", ""text"": ""I really don't know anyone named Sarah, and I definitely don't have any accounts with ABC Credit."", ""stime"": 17, ""etime"": 24}, {""speaker"": ""Agent"", ""text"": ""That\u2019s understandable. Let me double-check the number I have on file."", ""stime"": 23, ""etime"": 30}, {""speaker"": ""Customer"", ""text"": ""I hope you find the right person soon."", ""stime"": 29, ""etime"": 33}, {""speaker"": ""Agent"", ""text"": ""Thank you for your patience, and I'm sorry for the inconvenience."", ""stime"": 32, ""etime"": 39}, {""speaker"": ""Customer"", ""text"": ""No problem. Good luck!"", ""stime"": 38, ""etime"": 42}, {""speaker"": ""Agent"", ""text"": ""Take care! Bye!"", ""stime"": 41, ""etime"": 44}]",Not Found,Not Found
a73d777f-368a-46b5-9d59-0aa5829b4427,"[{""speaker"": ""Agent"", ""text"": ""Hello, is this John Smith?"", ""stime"": 0, ""etime"": 5}, {""speaker"": ""Customer"", ""text"": ""No, this is Sarah. Who is this?"", ""stime"": 6, ""etime"": 10}, {""speaker"": ""Agent"", ""text"": ""I'm calling from XYZ Collections regarding some outstanding debt connected to your account."", ""stime"": 9, ""etime"": 18}, {""speaker"": ""Customer"", ""text"": ""I think you've got the wrong person. I don\u2019t have any accounts with you."", ""stime"": 19, ""etime"": 24}, {""speaker"": ""Agent"", ""text"": ""I apologize for the mix-up. I will update our records to reflect this."", ""stime"": 23, ""etime"": 30}, {""speaker"": ""Customer"", ""text"": ""Thank you for understanding."", ""stime"": 31, ""etime"": 34}, {""speaker"": ""Agent"", ""text"": ""Of course! Have a great day."", ""stime"": 35, ""etime"": 40}]",Not Found,Not Found
d7bbea61-d739-43fb-a198-ced1b59f9491,"[{""speaker"": ""Agent"", ""text"": ""Hello, this is Mark from XYZ Collections. How are you today?"", ""stime"": 0, ""etime"": 5}, {""speaker"": ""Customer"", ""text"": ""What the hell do you want? I've told you assholes to leave me alone!"", ""stime"": 4.5, ""etime"": 10}, {""speaker"": ""Agent"", ""text"": ""I understand that you may be upset. I'm calling about your account with ABC Bank. Can I have your account number to assist you?"", ""stime"": 9, ""etime"": 15}, {""speaker"": ""Customer"", ""text"": ""Why the fuck would I give you anything? You're just some low-life calling me!"", ""stime"": 14, ""etime"": 20}, {""speaker"": ""Agent"", ""text"": ""I assure you, I'm here to help resolve this matter. Your current balance is $500. How do you prefer to settle this?"", ""stime"": 19, ""etime"": 26}, {""speaker"": ""Customer"", ""text"": ""Settle this? You guys are a bunch of crooks! I don't owe you shit!"", ""stime"": 25, ""etime"": 32}, {""speaker"": ""Agent"", ""text"": ""I understand your frustration. However, it's important for us to discuss this. The account is past due."", ""stime"": 31, ""etime"": 37}, {""speaker"": ""Customer"", ""text"": ""Fuck you! You think I'm gonna pay you just because you say so?"", ""stime"": 36, ""etime"": 41}, {""speaker"": ""Agent"", ""text"": ""I appreciate your honesty. My goal is simply to find a solution. Would you be open to setting up a payment plan?"", ""stime"": 40, ""etime"": 48}, {""speaker"": ""Customer"", ""text"": ""A payment plan? You\u2019re dreaming! Not a dime from me!"", ""stime"": 47, ""etime"": 53}, {""speaker"": ""Agent"", ""text"": ""I respect your decision. Just know I'm here to assist whenever you're ready to discuss options."", ""stime"": 52, ""etime"": 59}, {""speaker"": ""Customer"", ""text"": ""Yeah, whatever. Just get the hell off my phone!"", ""stime"": 58, ""etime"": 63}, {""speaker"": ""Agent"", ""text"": ""Thank you for your time. Have a good day."", ""stime"": 62, ""etime"": 65}]",Found,Not Found
0b6979e4-8c05-49e1-b7a7-94d85a627df5,"[{""speaker"": ""Agent"", ""text"": ""Hello, this is Mark from XYZ Collections. Am I speaking with Jessica?"", ""stime"": 0, ""etime"": 7}, {""speaker"": ""Customer"", ""text"": ""Yes, this is Jessica. What is this about?"", ""stime"": 8, ""etime"": 13}, {""speaker"": ""Agent"", ""text"": ""I\u2019m calling regarding an outstanding balance on your account. Could you please verify your address for me?"", ""stime"": 12, ""etime"": 20}, {""speaker"": ""Customer"", ""text"": ""Sure, it's 123 Elm Street, Springfield."", ""stime"": 21, ""etime"": 25}, {""speaker"": ""Agent"", ""text"": ""Thank you. I see here that you have a balance of $450 due. When do you plan to make a payment?"", ""stime"": 24, ""etime"": 33}, {""speaker"": ""Customer"", ""text"": ""I didn't know I had a balance. Can you provide more details?"", ""stime"": 32, ""etime"": 36}, {""speaker"": ""Agent"", ""text"": ""Sure! This balance is from services rendered last month. Can I assist you with the payment plan?"", ""stime"": 35, ""etime"": 44}, {""speaker"": ""Customer"", ""text"": ""I need to check my finances first before committing."", ""stime"": 43, ""etime"": 49}, {""speaker"": ""Agent"", ""text"": ""Of course, take your time. Just to confirm, do you want to set a follow-up call next week?"", ""stime"": 48, ""etime"": 57}, {""speaker"": ""Customer"", ""text"": ""Yes, that sounds good."", ""stime"": 56, ""etime"": 59}, {""speaker"": ""Agent"", ""text"": ""Alright, I will call you next Wednesday. Thank you for your time, Jessica."", ""stime"": 58, ""etime"": 66}, {""speaker"": ""Customer"", ""text"": ""Thank you, Mark."", ""stime"": 65, ""etime"": 68}, {""speaker"": ""Agent"", ""text"": ""Goodbye!"", ""stime"": 70, ""etime"": 72}]",Not Found,Not Found
928acb70-fa80-4532-a0c0-2234bf236e17,"[{""speaker"": ""Agent"", ""text"": ""Hello, this is Mark from XYZ Collections. How the hell are you today?"", ""stime"": 0, ""etime"": 8}, {""speaker"": ""Customer"", ""text"": ""I'm doing well, thank you. How can I help you?"", ""stime"": 9.2, ""etime"": 12.5}, {""speaker"": ""Agent"", ""text"": ""Listen up, I need to verify your identity before we go on. Give me your date of birth."", ""stime"": 11, ""etime"": 20}, {""speaker"": ""Customer"", ""text"": ""Sure, it's April 15, 1990."", ""stime"": 21, ""etime"": 23}, {""speaker"": ""Agent"", ""text"": ""Great. Now, can you confirm your address?"", ""stime"": 22, ""etime"": 26}, {""speaker"": ""Customer"", ""text"": ""Yes, it's 456 Maple Street, Springfield."", ""stime"": 27, ""etime"": 31}, {""speaker"": ""Agent"", ""text"": ""Okay, listen here, you owe $500 and I'm not here to play nice. How are you going to pay?"", ""stime"": 30, ""etime"": 42}, {""speaker"": ""Customer"", ""text"": ""I plan to pay it online once I check my funds."", ""stime"": 43, ""etime"": 48}, {""speaker"": ""Agent"", ""text"": ""Yeah, well make it quick because I don't have all day. This isn't a charity!"", ""stime"": 47, ""etime"": 57}, {""speaker"": ""Customer"", ""text"": ""I understand. I will try to make the payment as soon as possible."", ""stime"": 58, ""etime"": 63}, {""speaker"": ""Agent"", ""text"": ""You better. I don\u2019t need your excuses; just get it done!"", ""stime"": 62, ""etime"": 70}, {""speaker"": ""Customer"", ""text"": ""I appreciate your concern, but I will make the payment."", ""stime"": 71, ""etime"": 75}, {""speaker"": ""Agent"", ""text"": ""Whatever, just stop wasting my time. Bye!"", ""stime"": 74, ""etime"": 80}, {""speaker"": ""Customer"", ""text"": ""Thank you for your time."", ""stime"": 81, ""etime"": 83}]",Found,Not Found
b4dcda70-5083-4dc4-96a7-ce6d5e92c2a2,"[{""speaker"": ""Agent"", ""text"": ""Hello, this is David calling from XYZ Collections. How are you today?"", ""stime"": 0, ""etime"": 7}, {""speaker"": ""Customer"", ""text"": ""I'm doing okay, thanks. What is this about?"", ""stime"": 7.5, ""etime"": 11}, {""speaker"": ""Agent"", ""text"": ""I appreciate you asking. I'm reaching out to discuss an outstanding balance on your account. Can you please verify your date of birth for security purposes?"", ""stime"": 10, ""etime"": 20}, {""speaker"": ""Customer"", ""text"": ""Sure, it's July 15, 1990."", ""stime"": 19, ""etime"": 22}, {""speaker"": ""Agent"", ""text"": ""Thank you for confirming that. Can you also provide your current address?"", ""stime"": 21, ""etime"": 28}, {""speaker"": ""Customer"", ""text"": ""Yes, it's 123 Oak Street, Springfield."", ""stime"": 27, ""etime"": 30}, {""speaker"": ""Agent"", ""text"": ""Great, thank you. I can now confirm that you have a balance of $500. How would you like to proceed with the payment?"", ""stime"": 29, ""etime"": 39}, {""speaker"": ""Customer"", ""text"": ""I can pay $200 right now and the rest later."", ""stime"": 38, ""etime"": 44}, {""speaker"": ""Agent"", ""text"": ""That sounds good. Would you like to make the payment over the phone today?"", ""stime"": 43, ""etime"": 50}, {""speaker"": ""Customer"", ""text"": ""Yes, let's do that."", ""stime"": 49, ""etime"": 52}, {""speaker"": ""Agent"", ""text"": ""Perfect. I will guide you through the process. Please hold on for just a moment."", ""stime"": 51, ""etime"": 59}, {""speaker"": ""Customer"", ""text"": ""Okay, I'm ready."", ""stime"": 58, ""etime"": 60}, {""speaker"": ""Agent"", ""text"": ""Thank you for your patience. Let's get started with the payment details."", ""stime"": 59, ""etime"": 66}]",Not Found,Not Found
2f279983-ea96-4c10-a09d-4b607de21a38,"[{""speaker"": ""Agent"", ""text"": ""Hi, this is Mike calling from XYZ Collections. How the hell are you today?"", ""stime"": 0, ""etime"": 7}, {""speaker"": ""Customer"", ""text"": ""I'm doing well, thank you. How can I help you?"", ""stime"": 7.5, ""etime"": 11}, {""speaker"": ""Agent"", ""text"": ""Listen up, I need you to verify your date of birth before I can discuss your damn account."", ""stime"": 10, ""etime"": 16}, {""speaker"": ""Customer"", ""text"": ""Sure, my date of birth is January 15, 1990."", ""stime"": 15.5, ""etime"": 19}, {""speaker"": ""Agent"", ""text"": ""Great, but you're lucky I even have time for this crap. You owe us over $300."", ""stime"": 18, ""etime"": 24}, {""speaker"": ""Customer"", ""text"": ""I understand, but I'd like to arrange a payment plan."", ""stime"": 24.5, ""etime"": 28}, {""speaker"": ""Agent"", ""text"": ""A payment plan? Are you kidding me? Just pay the damn thing off already!"", ""stime"": 27, ""etime"": 32}, {""speaker"": ""Customer"", ""text"": ""I would like to discuss my options, please."", ""stime"": 32.5, ""etime"": 35}, {""speaker"": ""Agent"", ""text"": ""Your options? Well, you can either pay up or get ready for some serious collection action!"", ""stime"": 34, ""etime"": 40}, {""speaker"": ""Customer"", ""text"": ""I will do my best to sort this out. Can you provide me with the details?"", ""stime"": 40.5, ""etime"": 44}, {""speaker"": ""Agent"", ""text"": ""Fine, but you better not be jerking me around. I\u2019ll send you the info when I can!"", ""stime"": 43, ""etime"": 48}, {""speaker"": ""Customer"", ""text"": ""Thank you for your assistance. I appreciate it."", ""stime"": 48.5, ""etime"": 52}, {""speaker"": ""Agent"", ""text"": ""Yeah, whatever. Just get it done, alright?"", ""stime"": 51, ""etime"": 56}, {""speaker"": ""Customer"", ""text"": ""I will. Have a good day."", ""stime"": 56.5, ""etime"": 59}, {""speaker"": ""Agent"", ""text"": ""Yeah, you too, I guess. Bye."", ""stime"": 58, ""etime"": 61}]",Found,Violation
3f9a4a6a-2d53-4391-95c9-44306989d6ce,"[{""speaker"": ""Agent"", ""text"": ""Hello, is this Mark Thompson?"", ""stime"": 0, ""etime"": 5}, {""speaker"": ""Customer"", ""text"": ""Yes, this is Mark. Who is this?"", ""stime"": 6, ""etime"": 9}, {""speaker"": ""Agent"", ""text"": ""Hi Mark, this is Anna calling from XYZ Collections. I'm doing well, thank you. How about you?"", ""stime"": 8, ""etime"": 15}, {""speaker"": ""Customer"", ""text"": ""I'm okay, just busy with work."", ""stime"": 16, ""etime"": 18}, {""speaker"": ""Agent"", ""text"": ""I understand. I\u2019m calling regarding an outstanding balance on your account. Before we proceed, can you please verify your date of birth?"", ""stime"": 17, ""etime"": 29}, {""speaker"": ""Customer"", ""text"": ""Sure, it's April 12, 1990."", ""stime"": 30, ""etime"": 33}, {""speaker"": ""Agent"", ""text"": ""Thank you for that information. Can you also confirm your current address for verification?"", ""stime"": 32, ""etime"": 41}, {""speaker"": ""Customer"", ""text"": ""I live at 123 Maple Street, Springfield."", ""stime"": 42, ""etime"": 45}, {""speaker"": ""Agent"", ""text"": ""Thank you, Mark. I can confirm that you have a balance of $250 on your account. How would you like to resolve this today?"", ""stime"": 46, ""etime"": 56}, {""speaker"": ""Customer"", ""text"": ""I can pay $100 right now. Can I set up a payment plan for the rest?"", ""stime"": 57, ""etime"": 64}, {""speaker"": ""Agent"", ""text"": ""That sounds like a reasonable plan. We can set up a payment plan for the remaining balance. Let\u2019s discuss the details."", ""stime"": 63, ""etime"": 72}, {""speaker"": ""Customer"", ""text"": ""Great! I'm available to discuss that now."", ""stime"": 73, ""etime"": 76}, {""speaker"": ""Agent"", ""text"": ""Perfect, I\u2019ll send you the payment plan options via email after our call. Thank you for your cooperation today."", ""stime"": 75, ""etime"": 85}, {""speaker"": ""Customer"", ""text"": ""Thank you, Anna. I appreciate your help."", ""stime"": 86, ""etime"": 89}, {""speaker"": ""Agent"", ""text"": ""You're welcome, Mark. Have a great day!"", ""stime"": 90, ""etime"": 94}]",Not Found,Not Found
